Column1,
,
Mean,257.284
Standard Error,40.43091485
Median,230.31
Mode,#N/A
Standard Deviation,127.8537788
Sample Variance,16346.58876
Kurtosis,8.826644237
Skewness,2.901444003
Range,438.65
Minimum,174.41
Maximum,613.06
Sum,2572.84
Count,10
Largest(2),249.82
Smallest(2),186.49
