Timestamp,Distance,Speed,Command,HeadingError,PID_Output
1760695997.1465669,180.0211743007358,180,F,3.0846893803860667,0
1760695997.28488,180.0211743007358,180,F,3.0846893803860667,0
1760695997.3890803,180.02632884445805,180,F,1.1343964617601046,0
1760695997.4912024,175.88834060594525,180,F,0.7149812358146619,0
1760695998.180513,137.12741996772903,180,F,-3.5515729052726783,0
1760695998.282597,130.93745519543043,180,F,-4.869280655114267,0
1760695998.3844469,122.70419590805365,180,F,-6.641404067260964,0
1760695998.709208,102.67543535950264,177,F,-8.185584568100865,0
1760695998.8117325,100.64971571132996,176,F,-9.30012404834332,0
1760695998.9130917,95.06666729712312,175,F,-12.806872064355161,0
1760695999.232974,80.90473012541179,170,L,-15.73971002575189,0
1760695999.6592977,56.96633499245489,150,CCW,-25.7703320680439,0
1760695999.8321767,47.326151027548455,150,CCW,-32.44936608058305,0
1760695999.9345527,45.32114863794399,150,CCW,-33.204771000130336,0
1760696000.0369275,41.90810301856918,155,L,-17.657224799630285,0
1760696000.2819843,41.127287266858964,155,R,14.255855490743556,0
1760696000.558481,46.04971926723766,150,CW,28.21354660523366,0
1760696000.872353,44.4982713479703,150,CW,35.14817905859121,0
1760696000.973988,41.90310129798155,150,CW,30.7479949814811,0
1760696001.0767481,41.43387625218695,155,R,24.998318339366392,0
1760696001.2721372,40.57272881821225,160,F,-0.7126071896217354,0
1760696001.5834858,40.467299110688856,150,CCW,-30.10889480732135,0
1760696002.0952086,27.644555658901876,140,L,-58.531832559176394,0
1760696002.5424979,18.99396803437114,140,L,-15.69288818185538,0
1760696002.6444874,18.91412640217966,145,F,2.181214077899881,0
1760696003.08584,28.99072101552955,140,R,21.12550791005077,0
1760696003.4672067,23.08542890177858,140,R,23.863245890110022,0
1760696003.570771,20.45650188116548,140,R,19.410061060046587,0
1760696003.674691,16.75207447295947,140,R,29.39337029214289,0
1760696004.8971,11.066553326593665,125,L,-28.317817710735767,0
1760696005.106002,21.995208403081193,140,L,-19.93039782359608,0
1760696005.2076693,26.641008756076868,145,L,-11.962714562107067,0
1760696005.3093033,29.200488386252445,140,L,-15.419083551330118,0
1760696005.5227902,39.098964283750895,155,L,-10.809902390321554,0
1760696005.6248128,39.92827386639331,159,F,-4.226671167176903,0
1760696005.8410485,48.86902220777832,164,F,-5.817318055417218,0
1760696005.9430342,50.3198379378449,165,F,-7.745925087555179,0
1760696006.0451233,49.27525781748329,164,F,-3.9613748274833256,0
1760696006.3289554,37.2977027448814,155,L,-11.455966713100338,0
1760696006.748046,11.89253545499497,125,L,-44.685324387858884,0
1760696007.7636228,24.96156644595135,153,F,2.8704357987654134,0
1760696007.991616,39.760554450184316,159,F,2.9365179407638493,0
1760696008.0939162,45.11951455058754,162,F,-2.1589600727012908,0
1760696008.1961076,45.570940546263735,162,F,1.8125897614800692,0
1760696008.6496313,28.456728198235577,157,F,0.8446764680640513,0
1760696008.7516882,23.39323835815889,151,F,-1.7666288163880495,0
1760696008.853033,15.062934157112897,140,F,-2.2727333162634977,0
1760696009.465353,19.788693439628243,140,L,-175.80848536205846,0
1760696009.664424,28.13700244313361,140,L,-177.5129040569515,0
1760696009.7706738,27.96213961592559,140,L,-179.30703843980157,0
1760696009.8737237,21.99121208535084,140,R,178.49875077664316,0
1760696010.0555105,19.49497817360629,140,R,171.52925473179675,0
1760696010.1575203,17.98299429878666,140,R,163.38150524059213,0
1760696010.2590072,18.311710595441657,140,R,162.57794249939568,0
1760696010.4791088,21.03560176383339,140,R,173.40952796227543,0
1760696010.581504,22.466694865960097,140,R,178.9456589818285,0
1760696010.68519,23.724350294505758,140,L,-175.6422898123315,0
1760696010.8745832,27.95226808357043,140,L,-161.3264871984453,0
1760696010.9767241,29.503119495994753,140,L,-157.6232473859192,0
1760696011.0795624,28.46920646765299,140,L,-157.23155540102132,0
1760696011.2966814,24.334109714875513,140,L,-160.17642943390743,0
1760696011.3988006,23.36868283978577,140,L,-161.70079823195692,0
1760696011.5014265,19.487238658402305,140,L,-179.05857732758705,0
1760696011.8928096,18.63877345364808,140,R,153.800974559014,0
1760696012.106394,20.57092960000597,140,R,134.42661836028935,0
