timestamp,final_distance_cm,final_heading_error_deg,final_speed,rover_x,rover_y,target_x,target_y,total_time_s
1759840396,10.14938422,5.654420823,0,188.9,100,199,101,20.39052868
1759840471,10.2,0,0,341.8,100,352,100,40.19985485
1759840559,10.12373449,23.27290406,0,294.7,100,304,104,34.52994919
1759840628,10.1,0,0,292.9,100,303,100,34.17334604
1759840674,10.0673289,11.45875235,0,292.1333333,100,302,102,33.83144283
1759840735,10.01670826,-5.729565249,0,386.0333333,100,396,99,45.8179419
1759840784,10.11621361,5.67302214,0,343.9333333,100,354,101,40.172616
1759840902,10.15332458,-17.18570614,0,341.3,100,351,97,39.64813447
1759841020,10.1,11.42118627,0,342.1,100,352,102,39.43461943
1759841069,10,0,0,296,100,306,100,34.89295959
1759841115,10.1,0,0,292.9,100,303,100,34.03478813
,,,,,,,,
1759843236,10.1928521,3.387195069,0,293.387674,193.2429787,300,201,46.97328424
1759843650.6776156,10.139382650302286,3.0674427985416486,0,198.2851998005236,286.88584451355035,199.0,297.0,52.55417776107788
1759843780.0190353,10.1448631526554,2.7086877642776344,0,595.2105143321148,391.05689788589956,600.0,400.0,99.91588568687439
1759843880.3391612,10.199999999999818,0.0,0,341.8000000000002,100.0,352.0,100.0,40.26837778091431
1759843955.0759187,10.140774850537495,2.7003708937170643,0,193.08162116985133,244.0423327413831,195.0,254.0,45.76939153671265
1759844055.9431288,10.016182851104857,-2.1823046060666798,0,355.3664221042746,75.0779180404186,364.0,70.0,50.715545654296875
1759844125.3884282,10.082205224625291,2.975641809814718,0,359.0147270723238,156.84481694325967,367.0,163.0,53.133309841156006
1759844259.6369412,10.021201813822254,2.075823143100905,0,26.5378919242994,241.3966166905944,19.0,248.0,53.981372117996216
1759844327.0479531,10.040907362228186,2.8323369781911154,0,343.7327093617376,141.30160319393718,352.0,147.0,50.25016689300537
1759844411.6467204,10.135308953874905,2.5531171982635925,0,102.131791225794,343.7451208080846,98.0,353.0,61.26908469200134
1759844697.8490396,10.100000000000108,0.0,0,236.8999999999999,100.0,247.0,100.0,26.44740128517151
1759844758.3341398,10.102090521614889,2.306282291706111,0,145.53494592312657,190.00470863562558,147.0,200.0,36.866114377975464
1759845210.3742344,10.049334492651006,-2.800984547428925,0,191.98740759998557,99.85855528439268,202.0,99.0,21.46746301651001
1759845761.687812,10.165418077119037,2.7310650651995196,0,191.8706961595709,100.14388762952107,202.0,101.0,21.24283480644226
1759846659.5550408,10.172562946424762,-2.7704712760468624,0,236.86416829152327,99.8636854036116,247.0,99.0,26.725600242614746
1759847127.8360806,10.150988654840475,-2.1309924538539917,0,238.9587113645021,99.48831892056808,249.0,98.0,28.209690809249878
1759847901.4531388,10.103227171225948,-2.964107990162688,0,243.05728012941256,98.79374492289845,253.0,97.0,31.039954900741577
1759849576.773708,10.168605897715958,-3.9971763581760342,0,240.93528411788776,99.4498414104382,251.0,98.0,138.3305847644806
